ID,Word,Syllables
6898,arles,1
6899,Arlberg,2
6900,arm,1
6901,armed,1
6902,armed forces,3
6903,armes parlantes,3
6904,arms,1
6905,armband,2
6906,armchair,2
6907,Armco,2
6908,armer,2
6909,armful,2
6910,armguard,2
6911,armhole,2
6912,arming,2
6913,armless,2
6914,armlet,2
6915,armlike,2
6916,armload,2
6917,armpad,2
6918,armpit,2
6919,armrest,2
6920,Armstrong,2
6921,Armstrong-Jones,3
6922,Arnhem,2
6923,Arnhem Land,3
6924,arr,1
6925,arrhythmic,2
6926,Arries,2
6927,ars nova,3
6928,ars poetica,5
6929,arse,1
6930,arse licker,3
6931,arsphenamine,4
6932,arsy-versy,4
6933,art,1
6934,Art Deco,3
6935,art music,3
6936,Art Nouveau,3
6937,art paper,3
6938,art union,3
6939,arts,1
6940,artful,2
6941,artfully,3
6942,artfulness,3
6943,artist,2
6944,artistry,3
6945,artier,3
6946,artiest,3
6947,artiness,3
6948,artless,2
6949,artlessly,3
6950,artlessness,3
6951,artsy-craftsy,4
6952,artwork,2
6953,arty,2
6954,arty-crafty,4
6955,Arab,2
6956,Arab League,3
6957,Arabist,3
6958,Arad,2
6959,arak,2
6960,Aral Sea,3
6961,Aran,2
6962,Aran Islands,4
6963,araucaria,5
6964,araucarian,5
6965,Araucania,5
6966,Araucanian,5
6967,araucaria,5
6968,Arawn,2
6969,araban,3
6970,Arabel,3
6971,arabesque,3
6972,arabesquely,4
6973,Arabic,3
6974,Arabic numeral,6
6975,arability,5
6976,arable,3
6977,Araby,3
6978,arachidic,4
6979,Arafat,3
6980,Arafura Sea,5
6981,Aragats,3
6982,Arago,3
6983,Aragon,3
6984,Aragonese,4
6985,Aramaean,4
6986,Aramaic,4
6987,Aramean,4
6988,araneiform,5
6989,arapaima,4
6990,Arapesh,3
6991,Arapeshes,4
6992,Ararat,3
6993,araroba,4
6994,Arawak,3
6995,Arawakan,4
6996,arbalest,3
6997,arbalester,4
6998,arbalist,3
6999,arbalister,4
7000,Arbela,3
7001,Arbil,2
7002,arbitrament,4
7003,arbitrement,4
7004,arbiter,3
7005,arbitrage,3
7006,arbitrager,4
7007,arbitral,3
7008,arbitraries,4
7009,arbitrarily,5
7010,arbitrariness,5
7011,arbitrary,4
7012,arbitrate,3
7013,arbitrated,4
7014,arbitrating,4
7015,arbitrable,4
7016,arbitrageur,4
7017,arbitration,4
7018,arbitrational,5
7019,arbitrationist,5
7020,arbitrative,4
7021,arbitrator,4
7022,arbitrer,3
7023,arbitress,3
7024,Arblay,2
7025,arbor,2
7026,arbor vitae,4
7027,arbored,2
7028,arboraceous,4
7029,arboreal,4
7030,arborist,3
7031,arboriculture,5
7032,arboricultural,6
7033,arboriculturist,6
7034,arborisation,5
7035,arborization,5
7036,arborous,3
7037,arborvitae,4
7038,arbour,2
7039,arboured,2
7040,arbores,3
7041,arboresque,3
7042,arborescence,4
7043,arborescent,4
7044,arborescently,5
7045,arboreal,4
7046,arboreally,5
7047,arboreous,4
7048,arboretum,4
7049,Arbroath,2
7050,Arbuthnot,3
7051,arbutus,3
7052,arbutuses,4
7053,arca,2
7054,arcade,2
7055,arcaded,3
7056,Arcadic,3
7057,arcading,3
7058,arcane,2
7059,Arcangelo,4
7060,arcanist,3
7061,Arcas,2
7062,Arcadia,4
7063,Arcadian,4
7064,Arcadianism,5
7065,Arcadianly,5
7066,Arcady,3
7067,arcana,3
7068,arcanum,3
7069,Arcaro,3
7070,Arcata,3
7071,arcature,3
7072,Arce,2
7073,Arcella,3
7074,Arcesilaus,5
7075,Arcesius,4
7076,Archaean,3
7077,archaeologist,5
7078,archaeology,5
7079,archaeopteryx,5
7080,archaeornis,4
7081,Archaeocyathid,6
7082,archaeologic,5
7083,archaeological,6
7084,archaeologically,7
7085,archaeomagnetism,6
7086,Archaeozoic,5
7087,archaic,3
7088,archaise,3
7089,archaised,3
7090,archaism,3
7091,archaist,3
7092,archaising,4
7093,archaistic,4
7094,archaize,3
7095,archaized,3
7096,archaizer,4
7097,archaizing,4
7098,archaically,5
7099,archaicism,4
7100,Archelochus,4
7101,Archemorus,4
7102,archenteric,4
7103,archenteron,4
7104,Archeptolemus,5
7105,Archer,2
7106,archerfish,3
7107,archerfishes,4
7108,archery,3
7109,archetto,3
7110,Archean,3
7111,Archegetes,4
7112,archegonia,5
7113,archegonial,5
7114,archegoniate,5
7115,archegonium,5
7116,Archelaus,4
7117,archeologist,5
7118,archeology,5
7119,archeological,6
7120,archeologically,7
7121,archeomagnetism,6
7122,Archeozoic,5
7123,archespore,3
7124,archesporia,5
7125,archesporial,5
7126,archesporium,5
7127,archetype,3
7128,archetypal,4
7129,archetypally,5
7130,archetypically,6
7131,Archie,2
7132,archil,2
7133,Archilochus,4
7134,archine,2
7135,archive,2
7136,archives,2
7137,Archias,3
7138,Archibald,3
7139,archiblast,3
7140,archiblastic,4
7141,archicarp,3
7142,archidiaconal,6
7143,archidiaconate,6
7144,archiepiscopal,6
7145,archiepiscopality,8
7146,archiepiscopally,7
7147,archiepiscopate,6
7148,archiepiscopacy,7
7149,Archilochian,5
7150,archimage,3
7151,archimandrite,4
7152,Archimedes,4
7153,Archimedes' principle,7
7154,Archimedes' screw,5
7155,Archimedean,5
7156,Archimedean screw,6
7157,archipelago,5
7158,Archipenko,4
7159,archipelagic,5
7160,archiphoneme,4
7161,archiplasm,3
7162,archiplasmic,4
7163,architect,3
7164,architectonic,5
7165,architectonics,5
7166,architectonically,7
7167,architecture,4
7168,architectural,5
7169,architecturally,6
7170,architrave,3
7171,architraved,3
7172,architraval,4
7173,archival,3
7174,archivist,3
7175,archivolt,3
7176,archon,2
7177,archonship,3
7178,archoplasm,3
7179,archoplasmic,4
7180,Archy,2
7181,Archytas,3
7182,Arcimboldi,4
7183,arcifinious,5
7184,arciform,3
7185,Arciniegas,4
7186,arco,2
7187,arcosolia,5
7188,arcosolium,5
7189,arcus,2
7190,arcus senilis,5
7191,arcuate,3
7192,arcuately,4
7193,arcuated,4
7194,arcuation,4
7195,Ard,2
7196,ardeb,2
7197,Ardeen,2
7198,Ardella,3
7199,Arden,2
7200,Ardene,2
7201,Ardennes,2
7202,ardent,2
7203,ardent spirits,4
7204,ardently,3
7205,ardentness,3
7206,ardency,3
7207,ardeid,3
7208,Ardin,2
7209,Ardis,2
7210,ardish,2
7211,ardor,2
7212,ardour,2
7213,arduous,3
7214,arduously,4
7215,arduousness,4
7216,Ardche,2
7217,Arendt,2
7218,Ares,2
7219,area,3
7220,area code,4
7221,areal,3
7222,areaway,4
7223,areca,3
7224,arenaceous,4
7225,arenicolous,5
7226,arenite,3
7227,arenose,3
7228,arenosity,5
7229,arenous,3
7230,areography,5
7231,areole,3
7232,areologist,5
7233,areology,5
7234,Areopagite,5
7235,Areopagitic,6
7236,Areopagitica,7
7237,Areopagus,5
7238,areocentric,5
7239,areolation,5
7240,areologic,5
7241,areologically,7
7242,Arethusa,4
7243,arethusa,4
7244,Aretino,4
7245,Arethos,5
7246,argal,2
7247,Argall,2
7248,Argades,3
7249,argali,3
7250,argasid,3
7251,Argeiphontes,4
7252,argent,2
7253,argental,3
7254,argentate,3
7255,Argenteuil,3
7256,argenteous,4
7257,argentic,3
7258,argentiferous,5
7259,Argentine,3
7260,argentine,3
7261,Argentinean,5
7262,argentite,3
7263,Argentina,4
7264,argentous,3
7265,argentum,3
7266,Arges,2
7267,Argelander,4
7268,arghool,2
7269,argil,2
7270,argillaceous,4
7271,argilliferous,5
7272,argillite,3
7273,argillitic,4
7274,Argive,2
7275,Argia,3
7276,arginine,3
7277,Argiope,4
7278,Argiphontes,4
7279,argle-bargle,4
7280,arglebargle,4
7281,arglebargled,4
7282,arglebargling,4
7283,Argo,2
7284,argol,2
7285,Argolic,3
7286,argon,2
7287,Argonne,2
7288,Argos,2
7289,argot,2
7290,argotic,3
7291,Argoan,3
7292,Argolis,3
7293,Argonaut,3
7294,Argonautic,4
7295,argonon,3
7296,argosy,3
7297,Argovie,3
7298,argue,2
7299,argued,2
7300,Argus,2
7301,argus pheasant,4
7302,Argus-eyed,3
7303,arguable,4
7304,arguer,3
7305,argufied,3
7306,argufier,4
7307,argufy,3
7308,argufying,4
7309,arguing,3
7310,argument,3
7311,argumentation,5
7312,argumentatious,5
7313,argumentative,5
7314,argumentatively,6
7315,argumentativeness,6
7316,argumentum,4
7317,argy-bargied,4
7318,argy-bargy,4
7319,argy-bargying,5
7320,Argyle,2
7321,argyle,2
7322,Argyll,2
7323,Argyllshire,3
7324,argyrodite,4
7325,Argyra,3
7326,Argyrol,3
7327,Argyrotoxus,5
7328,Argedas,3
7329,Arhat,2
7330,Arhatship,3
7331,Arianrhod,3
7332,arid,2
7333,aridly,3
7334,Aries,2
7335,aril,2
7336,arillate,3
7337,arillode,3
7338,arilloid,3
7339,Aristaeus,4
7340,aristarch,3
7341,aristarchy,4
7342,Aristarchus,4
7343,Aristarchus of Samothrace,8
7344,Aristarchus of Samos,7
7345,Aristippus,4
7346,Aristides,4
7347,aristocracy,5
7348,Aristomachus,5
7349,Aristophanes,5
7350,Aristoteles,5
7351,Aristotle,4
7352,Aristotelian,5
7353,Aristotelianism,6
7354,Aristotelian,6
7355,Aristotelian logic,8
7356,Aristotle,4
7357,arithmancy,4
7358,arithmetical,5
7359,arithmetically,6
7360,Ariadaeus,5
7361,Ariadna,4
7362,Ariadne,4
7363,Arian,3
7364,Ariane,3
7365,Arianism,4
7366,Arianistic,5
7367,Arianistical,6
7368,Ariel,3
7369,ariel,3
7370,Arielle,3
7371,ariette,3
7372,arietta,4
7373,ariettas,4
7374,ariette,4
7375,Arimaspians,5
7376,Arimathaea,5
7377,Arimathaean,5
7378,Arimathea,5
7379,Arimathean,5
7380,ariose,3
7381,Ariovistus,5
7382,Aristarchian,5
7383,Aristillus,4
7384,Arius,3
7385,Arizona,4
7386,Arizonan,4
7387,Arizonian,5
7388,Arjun,2
7389,Arjuna,3
7390,Arkansan,3
7391,Arkansas,3
7392,Arkadelphia,4
7393,Arkhangelsk,3
7394,Arkie,2
7395,arkose,2
7396,arkosic,3
7397,Arleen,2
7398,Arlen,2
7399,Arlene,2
7400,Arley,2
7401,Arleyne,2
7402,Arliene,2
7403,Arlin,2
7404,Arline,2
7405,Arlington,3
7406,Arlis,2
7407,Arliss,2
7408,Arlon,2
7409,Arlyn,2
7410,Arlyne,2
7411,Armagh,2
7412,Armagnac,3
7413,Armand,2
7414,armaria,4
7415,armarian,4
7416,armarium,4
7417,Armada,3
7418,armada,3
7419,armadillo,4
7420,Armageddon,4
7421,Armagnac,3
7422,armament,3
7423,armamentarium,6
7424,armary,3
7425,armature,3
7426,Armavir,3
7427,Armenti,3
7428,Armentires,3
7429,armet,2
7430,Armenia,4
7431,Armenian,4
7432,Armenian Church,5
7433,Armenoid,3
7434,armigeral,4
7435,armigerous,4
7436,armil,2
7437,Armil,2
7438,armill,2
7439,Armilda,3
7440,armilla,3
7441,Armilla,3
7442,armillae,3
7443,armillary,4
7444,armillary sphere,5
7445,Armin,2
7446,Arminian,4
7447,Arminianism,5
7448,Arminius,4
7449,armipotence,4
7450,armipotent,4
7451,armiger,3
7452,Armina,3
7453,armistice,3
7454,Armistice Day,4
7455,Armitage,3
7456,armoire,2
7457,armor,2
7458,armor-clad,3
7459,armor-piercing,4
7460,armored,2
7461,armorbearer,4
7462,armorer,3
7463,Armoric,3
7464,armories,3
7465,armorist,3
7466,Armorica,4
7467,Armorican,4
7468,armorplated,4
7469,armory,3
7470,armour,2
7471,armour plate,3
7472,armour-bearer,4
7473,armour-clad,3
7474,armour-piercing,4
7475,armoured,2
7476,armoured car,3
7477,armourbearer,4
7478,armourer,3
7479,armouries,3
7480,armoury,3
7481,armomancy,4
7482,armorial,4
7483,armure,2
7484,army,2
7485,army ant,3
7486,Army List,3
7487,army worm,3
7488,armyworm,3
7489,Arnaeus,3
7490,arnatto,3
7491,Arne,2
7492,Arnel,2
7493,Arnim,2
7494,arnica,3
7495,Arno,2
7496,Arnold,2
7497,Arnoldson,3
7498,Arnulf,2
7499,aroid,2
7500,aromat,2
7501,Aron,2
7502,aromatic,4
7503,aromaticness,5
7504,aromatically,6
7505,aromaticity,6
7506,Arp,2
7507,arpeggiated,5
7508,arpeggiation,5
7509,arpeggio,4
7510,arpeggioed,4
7511,arpeggios,4
7512,arpent,2
7513,arquebus,3
7514,arquebuses,4
7515,arquebusier,4
7516,arrack,2
7517,arraign,2
7518,arraigner,3
7519,arraignment,3
7520,Arran,2
7521,arrange,2
7522,arranged,2
7523,arrangeable,4
7524,arrangement,3
7525,arranger,3
7526,arranging,3
7527,arrant,2
7528,arrantly,3
7529,Arras,2
7530,arras,2
7531,arrased,2
7532,array,2
7533,arrayal,3
7534,Arrau,3
7535,arrear,2
7536,arrears,2
7537,arrearage,3
7538,arrest,2
7539,arrest of judgment,5
7540,arrestable,4
7541,arrester,3
7542,arresting,3
7543,arrestingly,4
7544,arrestment,3
7545,arrestive,3
7546,arrenotokous,5
7547,arrenotoky,5
7548,Arrephoria,5
7549,Arrephoroi,4
7550,Arrephoros,4
7551,Arretine ware,4
7552,Arretium,4
7553,Arrhenius,4
7554,arrhenotokous,5
7555,arrhenotoky,5
7556,Arrhephoria,5
7557,arrhythmia,4
7558,arrhythmically,5
7559,arri,2
7560,arricciato,4
7561,arriccio,3
7562,arride,2
7563,arrided,3
7564,arriding,3
7565,arris,2
7566,arrisways,3
7567,arriswise,3
7568,arrive,2
7569,arrived,2
7570,arriver,3
7571,arriving,3
7572,arrire-pense,4
7573,arrire-penses,4
7574,arrire-voussure,4
7575,arrire-voussures,4
7576,Arrigo,3
7577,arris,3
7578,arrival,3
7579,arrivederci,5
7580,arrivisme,3
7581,arriviste,3
7582,arriv,3
7583,arrire-ban,4
7584,arrondissement,4
7585,arrow,2
7586,arrows,2
7587,arrowhead,3
7588,arrowless,3
7589,arrowlike,3
7590,arrowroot,3
7591,Arrowsmith,3
7592,arrowwood,3
7593,arrowworm,3
7594,arrowy,3
7595,arroyo,3
7596,arroba,3
7597,arrogance,3
7598,arrogant,3
7599,arrogantly,4
7600,arrogancy,4
7601,arrogate,3
7602,arrogated,4
7603,arrogating,4
7604,arrogatingly,5
7605,arrogation,4
7606,arrogator,4
7607,Arru Islands,4
7608,arrythmia,4
7609,arrythmically,5
7610,arsenical,4
7611,arsenous,3
7612,arsenolite,4
7613,arsenal,3
7614,arsenate,3
7615,arsenic,3
7616,arsenic acid,5
7617,arsenic trioxide,6
7618,arsenide,3
7619,arsenite,3
7620,arseniureted,5
7621,arseniuretted,5
7622,arsenious,4
7623,arseno,3
7624,arsenous,3
7625,arsenopyrite,5
7626,Arseny,3
7627,Arshile,2
7628,arshin,2
7629,arshine,2
7630,arsine,2
7631,Arsinous,4
7632,Arsino,4
7633,Arsippe,3
7634,arsis,2
7635,arsino,3
7636,arson,2
7637,arsonist,3
7638,arsy-varsy,4
7639,arsyversy,4
7640,artal,2
7641,Artaud,2
7642,Artacia,4
7643,Artaxerxes I,5
7644,Artaxerxes II,5
7645,artel,2
7646,arteries,3
7647,artery,3
7648,artefact,3
7649,Artemas,3
7650,Artemis,3
7651,artemisia,5
7652,Artemision,5
7653,artemisia,5
7654,Artemovsk,3
7655,Artemus,3
7656,arterial,4
7657,arterialise,5
7658,arterialised,5
7659,arterialising,6
7660,arterialize,5
7661,arterialized,5
7662,arterializing,6
7663,arterialization,7
7664,arterially,5
7665,arteriole,4
7666,arteriology,6
7667,arteriotomy,6
7668,arteriosclerotic,7
7669,arteriosclerosis,7
7670,arteriovenous,6
7671,arteritis,4
7672,Artesia,3
7673,artesian,3
7674,artesian well,4
7675,artesonado,5
7676,Arteveld,3
7677,Artha,2
7678,arthralgia,3
7679,arthralgic,3
7680,arthrectomy,4
7681,arthritic,3
7682,arthritis,3
7683,arthrodic,3
7684,arthrology,4
7685,Arthropoda,4
7686,arthropodal,4
7687,Arthrobacter,4
7688,arthrodire,3
7689,arthrodia,4
7690,arthrodiae,4
7691,arthrodial,4
7692,arthrodiran,4
7693,arthromere,3
7694,arthromeric,4
7695,arthropod,3
7696,arthrospore,3
7697,arthrosporic,4
7698,arthrosporous,4
7699,Arthur,2
7700,Arthurian,4
7701,artic,2
7702,articular,4
7703,articularly,5
7704,articulate,4
7705,articulately,5
7706,articulateness,5
7707,articulated,5
7708,articulated lorry,7
7709,articulating,5
7710,articulability,7
7711,articulable,5
7712,articulacy,5
7713,articulation,5
7714,articulative,5
7715,articulator,5
7716,articulatorily,7
7717,articulatory,6
7718,articulatory phonetics,9
7719,Artie,2
7720,artificer,4
7721,artillerist,4
7722,artillery,4
7723,artillery plant,5
7724,artilleryman,5
7725,artiste,2
7726,artistic,3
7727,artistical,4
7728,artistically,5
7729,artichoke,3
7730,article,3
7731,article of faith,5
7732,articles of association,9
7733,Articles of Confederation,9
7734,Articles of War,5
7735,artifact,3
7736,artifactitious,5
7737,artifice,3
7738,artificial,4
7739,artificial feel,5
7740,artificial horizon,7
7741,artificial insemination,9
7742,artificial kidney,6
7743,artificial language,6
7744,artificial respiration,8
7745,artificialise,5
7746,artificialize,5
7747,artificially,5
7748,artificialness,5
7749,artificiality,7
7750,Artigas,3
7751,artiodactyl,5
7752,Artiodactyla,6
7753,artiodactylous,6
7754,artisan,3
7755,artisanal,4
7756,artisanship,4
7757,Artois,2
7758,artophoria,5
7759,artophorion,5
7760,artotype,3
7761,Artur,2
7762,Arturo,3
7763,Arty,2
7764,Artzybasheff,4
7765,Artzybashev,4
7766,arum,2
7767,arumlike,3
7768,Aruns,2
7769,Arundel,3
7770,Arvada,3
7771,Arval,2
7772,Arvales,3
7773,Arvid,2
7774,Arvin,2
7775,arvo,2
7776,Arvol,2
7777,aryl,2
7778,arylate,3
7779,arylated,4
7780,arylating,4
7781,arylamine,4
7782,arylation,4
7783,Aryan,3
7784,Aryanise,4
7785,Aryanised,4
7786,Aryanising,5
7787,Aryanize,4
7788,Aryanized,4
7789,Aryanizing,5
7790,aryballi,4
7791,aryballoi,4
7792,aryballoid,4
7793,aryballos,4
7794,aryballus,4
7795,aryepiglottic,6
7796,aryepiglottidean,8
7797,arytaenoid,4
7798,arytenoid,4
7799,arytenoidal,5
7800,arytenoepiglottic,8
7801,Arzachel,3
7802,ascetic,1
7803,asdic,1
7804,ash,1
7805,Ash Wednesday,3
7806,Asheboro,3
7807,Asheville,2
7808,Ashburn,2
7809,Ashburton,3
7810,Ashby,2
7811,ashcan,2
7812,Ashchenaz,3
7813,Ashcroft,2
7814,Ashdod,2
7815,Ashdown,2
7816,ashen,2
7817,Asher,2
7818,Asherite,3
7819,ashes,2
7820,Ashes,2
7821,ashet,2
7822,Ashford,2
7823,ashier,3
7824,ashiest,3
7825,ashkey,2
7826,Ashkenaz,3
7827,Ashkenazi,4
7828,Ashkenazic,4
7829,Ashkenazim,4
7830,Ashkenazi,4
7831,Ashkhabad,3
7832,Ashland,2
7833,ashlar,2
7834,ashlaring,3
7835,ashler,2
7836,ashless,2
7837,Ashley,2
7838,ashman,2
7839,ashplant,2
7840,ashram,2
7841,Ashtabula,4
7842,Ashton,2
7843,Ashton-under-Lyne,5
7844,Ashtoreth,3
7845,ashtray,2
7846,Ashur,2
7847,Ashurbanipal,5
7848,ashy,2
7849,ask,1
7850,ask after,3
7851,asker,2
7852,asking price,3
7853,Askja,2
7854,asp,1
7855,aspish,2
7856,ass,1
7857,ass about,3
7858,ass licker,3
7859,ass-headed,3
7860,assn,1
7861,assoc,1
7862,asst,1
7863,asshead,2
7864,assheadedness,4
7865,asslike,2
7866,asthma,2
7867,asthmatic,3
7868,asthmatical,4
7869,asthmatically,5
7870,asthmatoid,3
7871,Astispumante,2
7872,astr,1
7873,astrol,1
7874,astron,1
7875,aswampish,2
7876,Asael,3
7877,asafetida,5
7878,asafoetida,5
7879,asarabacca,5
7880,asarotum,4
7881,asarum,3
7882,Asben,2
7883,asbestine,3
7884,asbestoid,3
7885,asbestoidal,4
7886,asbestos,3
7887,asbestosis,4
7888,asbestus,3
7889,Asbjrnsen,3
7890,asbolane,3
7891,Asbury,3
7892,Ascalabus,4
7893,Ascalaphus,4
7894,ascaridole,4
7895,Ascanian,4
7896,Ascanius,4
7897,ascarid,3
7898,ascariasis,5
7899,ascend,2
7900,ascendance,3
7901,ascendant,3
7902,ascendancy,4
7903,ascendable,4
7904,ascendence,3
7905,ascendent,3
7906,ascendency,4
7907,ascender,3
7908,ascending,3
7909,ascendingly,4
7910,ascendible,4
7911,ascent,2
7912,Ascension,3
7913,ascension,3
7914,Ascension Day,4
7915,ascensional,4
7916,Ascensiontide,4
7917,ascensive,3
7918,ascertain,3
7919,ascertainable,5
7920,ascertainableness,6
7921,ascertainably,5
7922,ascertainer,4
7923,ascertainment,4
7924,ascetic,3
7925,ascetical,4
7926,ascetically,5
7927,asceticism,4
7928,Ascenez,3
7929,ascesis,3
7930,Ascham,2
7931,asci,2
7932,ascidia,4
7933,ascidian,4
7934,ascidium,4
7935,ascitic,3
7936,ascites,3
7937,Asclepi,3
7938,asclepiadaceous,6
7939,Asclepiade,5
7940,Asclepiadean,6
7941,Asclepius,4
7942,ascogenous,4
7943,ascon,2
7944,ascot,2
7945,Ascot,2
7946,ascocarp,3
7947,ascocarpous,4
7948,ascogonia,5
7949,ascogonial,5
7950,ascogonium,5
7951,Ascoli Piceno,6
7952,ascomycete,4
7953,ascomycetous,5
7954,asconoid,3
7955,ascospore,3
7956,ascosporic,4
7957,ascribe,2
7958,ascribed,2
7959,ascribing,3
7960,ascription,3
7961,ascus,2
7962,Ascus,2
7963,asdic,2
7964,Asenath,3
7965,Aseneth,3
7966,Asgard,2
7967,Asgarth,2
7968,Asgeir,2
7969,Asgeirsson,3
7970,Ashab,2
7971,asinine,3
7972,asininely,4
7973,asininity,5
7974,askarel,3
7975,askari,3
7976,askos,2
7977,Asmara,3
7978,Asmodeus,4
7979,Asmonaean,4
7980,Asmonean,4
7981,Asni,2
7982,Asnires,2
7983,asparagine,4
7984,asparagus,4
7985,aspartic acid,5
7986,asparaginous,5
7987,Aspasia,3
7988,aspect,2
7989,aspect ratio,5
7990,aspectant,3
7991,aspectual,4
7992,Aspen,2
7993,aspen,2
7994,asper,2
7995,asperse,2
7996,aspersed,2
7997,asperser,3
7998,aspersing,3
7999,Asperges,3
8000,aspergill,3
8001,aspergilla,4
8002,aspergilli,4
8003,aspergillosis,5
8004,aspergillum,4
8005,aspergillus,4
8006,asperity,4
8007,aspersion,3
8008,aspersive,3
8009,aspersively,4
8010,aspersoria,5
8011,aspersorium,5
8012,asphalt,2
8013,asphaltlike,3
8014,Asphalius,4
8015,asphaltene,3
8016,asphaltic,3
8017,asphaltite,3
8018,asphaltum,3
8019,asphodel,3
8020,asphyxia,3
8021,asphyxia,4
8022,asphyxial,4
8023,asphyxiant,4
8024,asphyxiate,4
8025,asphyxiated,5
8026,asphyxiating,5
8027,asphyxiation,5
8028,asphyxiator,5
8029,aspic,2
8030,Aspinwall,3
8031,aspire,2
8032,aspired,2
8033,aspirant,3
8034,aspiratory,5
8035,aspirer,3
8036,aspiring,3
8037,aspiringly,4
8038,aspidistra,4
8039,aspirate,3
8040,aspirated,4
8041,aspirating,4
8042,aspirata,4
8043,aspiration,4
8044,aspirator,4
8045,aspirin,3
8046,Asquith,2
8047,Assad,2
8048,assai,2
8049,assail,2
8050,assailant,3
8051,assailable,4
8052,assailableness,5
8053,assailer,3
8054,assailment,3
8055,Assam,2
8056,assam,2
8057,Assaracus,4
8058,assassin,3
8059,Assassin,3
8060,assassin bug,4
8061,assassinate,4
8062,assassinated,5
8063,assassinating,5
8064,assassination,5
8065,assassinative,5
8066,assassinator,5
8067,assault,2
8068,assault and battery,6
8069,assaultable,4
8070,assaulter,3
8071,assay,2
8072,assayable,4
8073,assayer,3
8074,assafetida,5
8075,assafoetida,5
8076,assagai,3
8077,assagaied,3
8078,assagaiing,4
8079,assai,3
8080,Assamese,3
8081,assembl,3
8082,assemblage,3
8083,assemble,3
8084,assembled,3
8085,assembler,3
8086,Assembly,3
8087,assembly,3
8088,assembly line,4
8089,assemblyman,4
8090,assembl,3
8091,Assen,2
8092,assent,2
8093,assenter,3
8094,assentingly,4
8095,assentation,4
8096,assentive,3
8097,assentiveness,4
8098,assentient,4
8099,assentor,3
8100,Asser,2
8101,assert,2
8102,asserted,3
8103,assertedly,4
8104,asserter,3
8105,assertible,4
8106,assertion,3
8107,assertional,4
8108,assertive,3
8109,assertively,4
8110,assertiveness,4
8111,assertor,3
8112,assertorily,5
8113,assertory,4
8114,asses,2
8115,assess,2
8116,assessable,4
8117,assessment,3
8118,assessor,3
8119,assessorship,4
8120,assessorial,5
8121,asset,2
8122,asset-stripping,4
8123,assets,2
8124,asseverate,4
8125,asseverated,5
8126,asseverating,5
8127,asseveration,5
8128,asseverative,5
8129,asseveratively,6
8130,assegai,3
8131,assegaied,3
8132,assegaing,4
8133,Asshur,2
8134,assibilate,4
8135,assibilated,5
8136,assibilating,5
8137,assibilation,5
8138,assiduous,4
8139,assiduously,5
8140,assiduousness,5
8141,assign,2
8142,assignability,6
8143,assignable,4
8144,assignably,4
8145,assignee,3
8146,assigner,3
8147,assignment,3
8148,assignor,3
8149,assignat,3
8150,assignats,3
8151,assignation,4
8152,assimilate,4
8153,assimilated,5
8154,assimilating,5
8155,assimilability,7
8156,assimilable,5
8157,assimilation,5
8158,assimilationist,6
8159,assimilative,5
8160,assimilativeness,6
8161,assimilator,5
8162,assimilatory,6
8163,Assiniboin,4
8164,Assiniboine,4
8165,assist,2
8166,assistantship,4
8167,assister,3
8168,assistive,3
8169,assistance,3
8170,assistant,3
8171,assistant professor,6
8172,assistor,3
8173,Assiut,2
8174,assize,2
8175,assizes,3
8176,Assidaean,4
8177,Assidean,4
8178,assiduity,5
8179,Assisi,3
8180,assoil,2
8181,assort,2
8182,assortative,4
8183,assortatively,5
8184,assorted,3
8185,assorter,3
8186,assortive,3
8187,assortment,3
8188,Assouan,2
8189,associate,4
8190,associate professor,7
8191,associated,5
8192,associated statehood,7
8193,associating,5
8194,associability,7
8195,associable,5
8196,associableness,6
8197,association,5
8198,association football,7
8199,associational,6
8200,associationism,6
8201,associationist,6
8202,associationistic,7
8203,associative,5
8204,associatively,6
8205,associativeness,6
8206,assonance,3
8207,assonant,3
8208,assonantal,4
8209,assuage,2
8210,assuaged,2
8211,assuagement,3
8212,assuager,3
8213,assuaging,3
8214,Assuan,2
8215,assuasive,3
8216,assume,2
8217,assumed,2
8218,assumpsit,3
8219,assumption,3
8220,Assumption,3
8221,Assumptionist,4
8222,assumptive,3
8223,assumptively,4
8224,assumable,4
8225,assumably,4
8226,assumedly,4
8227,assumer,3
8228,assuming,3
8229,assumingly,4
8230,Assur,2
8231,assure,2
8232,assured,2
8233,assurance,3
8234,Assurbanipal,5
8235,assuredly,4
8236,assuredness,4
8237,assurer,3
8238,assurgent,3
8239,assurgency,4
8240,assuring,3
8241,assuror,3
8242,Assuerus,4
8243,Assyria,4
8244,Assyrian,4
8245,Assyriologist,6
8246,Assyriology,6
8247,Assyriological,7
8248,Assyro-Babylonian,8
8249,Astarte,3
8250,astatine,3
8251,aster,2
8252,asteraceous,4
8253,asterisk,3
8254,asterism,3
8255,asterismal,4
8256,asterixis,4
8257,asteroid,3
8258,asteroidal,4
8259,Asteroidea,5
8260,asteroidean,5
8261,Asterope,4
8262,asteriscus,4
8263,asteriscuses,5
8264,asteriated,5
8265,Asterion,4
8266,Asterius,4
8267,Asterodia,5
8268,Asteropaeus,5
8269,asthenic,3
8270,asthenosphere,4
8271,asthenia,4
8272,asthenope,3
8273,asthenopic,4
8274,asthenopia,5
8275,astheny,3
8276,Asti,2
8277,astigmatic,4
8278,astigmatically,6
